X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1753427,5918305,1262154,,515003,0,,0,2,,West,2012/2013,SH 16,ST LUKES OBR,,Serious Crash,Yes,2013,,West,,0,,Flat,,,,,,Bright sun,390502,0,0,0,3,,,0,,,,,,Auckland Region,Nil,1-way,Sealed,,0,1,,100,,Off,0,0,,76,Auckland,Nil,,,,,1,0,Open,1,,,Fine,Null
1746836,5912462,1262159,,512600,0,,0,1,,East,2012/2013,KAURILANDS ROAD,WITHERS ROAD,,Serious Crash,No,2013,,East,,0,,Flat,,,,,,Bright sun,298302,0,0,0,2,,,0,,,1,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1766877,5900096,1262213,,524713,0,,0,1,,North,2013/2014,ANTALYA PLACE,WEYMOUTH ROAD,,Serious Crash,No,2013,,South,,0,,Flat,,,,,,Overcast,775805,0,0,0,1,,,0,,,1,,,Auckland Region,Nil,2-way,Sealed,,0,2,,10,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Light rain,Null
1770252,5877157,1262367,,525922,0,0,0,0,0,Null,2013/2014,BUCKLAND ROAD,TUAKAU ROAD,,Fatal Crash,No,2014,0,West,0,1,1,Flat,0,,0,,0,Overcast,824302,0,0,0,3,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,100,0,Off,1,0,,76,Auckland,Give way,0,0,0,1,0,0,Open,0,0,0,Heavy rain,Null
1764201,5920226,1262844,,516601,0,0,0,1,0,West,2014/2015,TAMAKI DRIVE,AVERILL AVENUE,,Serious Crash,No,2014,0,East,0,0,0,Flat,0,,0,,0,Dark,503900,0,0,0,2,0,0,0,0,0,,0,1,Auckland Region,Nil,2-way,Sealed,0,0,1,0,50,0,On,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1765033,5914997,1262998,,520301,0,0,0,1,0,South,2015/2016,JELLICOE ROAD,GREEN ROAD,,Serious Crash,No,2015,0,South,1,0,0,Flat,0,,0,,0,Bright sun,628002,0,0,0,3,0,0,0,0,0,,0,1,Auckland Region,Nil,2-way,Sealed,0,0,1,0,50,0,Off,0,0,,76,Auckland,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1753037,5924564,1263054,,510402,0,,0,1,,Null,2014/2015,CHELSEA VIEW DRIVE,PORRITT AVENUE,,Serious Crash,No,2015,,East,,0,,Flat,,,,,,Overcast,352900,0,0,1,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,Null,0,0,,76,Auckland,Stop,,,,,0,0,Urban,0,,,Fine,Null
1751892.016,5874979.001,1263098,,521151,0,0,0,1,1,Null,2014/2015,CONSTABLE ROAD,KARIOITAHI ROAD,,Serious Crash,No,2014,0,West,0,0,0,Flat,0,,0,,0,Overcast,831500,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,1,0,100,0,Null,0,0,,76,Auckland,Give way,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1746930,5920031,1263123,,512300,0,0,0,0,0,South,2013/2014,TITOKI ST,TORU ST,,Serious Crash,No,2014,0,North,0,0,0,Flat,0,,0,,1,Bright sun,251700,0,0,1,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,1,0,50,0,Null,0,0,,76,Auckland,Nil,1,0,0,0,0,0,Urban,0,0,0,Fine,Null
1757813,5918166,1263160,,515700,0,0,0,1,0,South,2013/2014,SH 1N,MOUNTAIN OBR,,Serious Crash,Yes,2014,0,North,0,0,0,Hill Road,1,,0,,0,Dark,443600,2,0,0,5,0,0,0,0,0,,0,0,Auckland Region,Nil,1-way,Sealed,0,0,1,0,80,0,On,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Open,1,0,0,Fine,Null
1788407,5883133,1263361,,521134,0,0,0,0,0,East,2013/2014,PAPARIMU ROAD,PAPARATA ROAD,,Serious Crash,No,2014,0,South,1,0,0,Hill Road,0,,0,,0,Twilight,815702,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,1,0,100,0,None,1,0,,76,Auckland,Unknown,0,0,0,0,0,0,Open,0,0,0,Light rain,Null
1767370,5906773,1263385,,523601,0,0,0,1,0,North,2015/2016,BAIRDS ROAD,SANDBROOK AVENUE,,Serious Crash,No,2015,0,North,0,0,0,Flat,0,,1,,0,Overcast,707600,1,0,0,2,0,0,0,0,0,,0,1,Auckland Region,Nil,2-way,Sealed,0,0,1,0,50,0,Null,0,0,,76,Auckland,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1751777,5949587,1263390,,505805,0,,0,1,,Null,2014/2015,HIBISCUS COAST HIGHWAY,TAMARIKI AVENUE,,Serious Crash,No,2015,,South,,0,,Flat,,,,,,Bright sun,172102,1,0,1,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,Null,0,0,,76,Auckland,Give way,,,,,0,0,Urban,0,,,Fine,Null
1743957,5884150,1263460,,521151,0,0,0,1,0,East,2015/2016,AWHITU ROAD,DOUGLAS ROAD,,Fatal Crash,No,2015,0,East,0,1,0,Flat,0,,0,,0,Bright sun,830900,1,0,0,2,0,0,0,1,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,100,0,Null,0,0,50,76,Auckland,Nil,0,0,0,1,0,0,Open,0,0,0,Fine,Null
1732074,5929816,1263470,65,506652,0,0,0,0,0,West,2014/2015,SH 16,MURIWAI ROAD,,Fatal Crash,Yes,2014,0,West,0,1,1,Hill Road,0,,0,,0,Dark,216203,0,0,1,2,0,0,0,0,0,,0,1,Auckland Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,76,Auckland,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1746276,5942421,1263505,,506614,0,,0,0,,West,2014/2015,HORSESHOE BUSH ROAD,DAIRY FLAT HIGHWAY,,Serious Crash,No,2014,,West,,0,,Flat,,,,,,Overcast,177802,0,0,0,2,,,0,,,1,,,Auckland Region,Nil,2-way,Sealed,,0,1,,100,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Open,1,,,Fine,Null
1755717,5917946,1263542,,517500,1,,0,1,,Null,2013/2014,NEW NORTH ROAD,SANDRINGHAM ROAD,,Serious Crash,No,2014,,West,,0,,Flat,,,,,,Dark,531300,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,On,0,0,,76,Auckland,Traffic Signals,,,,,0,0,Urban,0,,,Fine,Null
1769603,5908513,1263646,,523113,0,,0,1,,Null,2014/2015,TE IRIRANGI DRIVE,ACCENT DRIVE,,Serious Crash,No,2015,,North,,0,,Flat,,,,,,Overcast,711901,0,0,0,6,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,80,,Null,1,0,,76,Auckland,Traffic Signals,,,,,1,0,Open,1,,,Fine,Null
1756221,5924268,1263780,,509702,0,,0,2,,Null,2014/2015,SH 1N,ONEWA OFF NBD,,Serious Crash,Yes,2015,,North,,0,,Flat,,Queens Birthday,,,,Dark,366700,0,0,0,6,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,100,,On,0,0,,76,Auckland,Nil,,,,,0,0,Open,0,,,Fine,Null
1755602,5917395,1263990,,517500,0,0,0,1,0,Null,2014/2015,CRICKET AVENUE,REIMERS AVENUE,,Serious Crash,No,2015,0,South,0,0,0,Hill Road,0,,0,,0,Overcast,532400,0,0,1,2,0,0,0,0,1,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,1,0,50,0,Null,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Strong wind
1768264,5905508,1264097,,523721,0,,0,0,,West,2014/2015,BOUNDARY ROAD,TOWNLEY PLACE,,Serious Crash,No,2014,,West,,0,,Flat,,,,,,Bright sun,715514,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,Null,1,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1770181,5914856,1264099,,522712,0,,0,0,,East,2015/2016,HUTCHINSON ROAD,PAKURANGA ROAD,,Serious Crash,No,2015,,North,,0,,Hill Road,,,,,,Dark,644800,0,0,1,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,On,0,0,,76,Auckland,Unknown,,,,,0,0,Urban,1,,,Fine,Null
1746949,5919827,1264117,,512300,0,,0,4,,West,2014/2015,SH 16,TE ATATU ROAD,,Serious Crash,Yes,2015,,East,,0,,Flat,,,,,,Bright sun,251700,3,0,0,2,,,0,,,,,,Auckland Region,Motorway ramp,1-way,Sealed,,0,2,,80,,Null,0,0,,76,Auckland,Unknown,,,,,1,0,Open,0,,,Fine,Null
1765114,5886546,1264126,,521122,0,0,0,1,0,South,2013/2014,OSTRICH ROAD,GLENBROOK ROAD,,Serious Crash,No,2014,0,North,0,0,1,Flat,0,,0,,0,Overcast,813200,0,0,0,2,0,1,0,0,0,,0,1,Auckland Region,Nil,2-way,Sealed,0,0,1,0,100,0,None,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1753627,5918297,1264142,,515003,0,,0,3,,West,2015/2016,SH 16,ST LUKES OBR,,Serious Crash,Yes,2015,,West,,0,,Flat,,,,,,Bright sun,390502,1,0,0,3,,,0,,,,,,Auckland Region,Nil,1-way,Sealed,,0,1,,100,,Null,0,0,,76,Auckland,Unknown,,,,,0,0,Open,1,,,Fine,Null
1767197,5899394,1264277,,524812,0,,0,1,,South,2013/2014,SYKES ROAD,ASHMERE LANE,,Fatal Crash,No,2014,,North,,1,,Hill Road,,,,,,Overcast,774101,0,0,0,2,,,0,,,1,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,76,Auckland,Unknown,,,,,0,0,Urban,0,,,Fine,Null
1743728,5916399,1264300,,513011,0,0,0,1,0,East,2014/2015,SAN BERNADINO DRIVE,PALOMINO DRIVE,,Serious Crash,No,2014,0,South,0,0,0,Hill Road,0,,0,,0,Twilight,280707,1,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,1,0,50,0,Off,0,0,,76,Auckland,Nil,0,0,0,1,0,0,Urban,0,0,0,Fine,Null
1751627,5916820,1264322,,514900,0,,1,0,,South,2013/2014,GREAT NORTH ROAD,FIR ST,,Serious Crash,No,2014,,North,,0,,Hill Road,,,,,,Bright sun,384703,0,0,0,4,,,0,,,1,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,Null,0,0,,76,Auckland,Unknown,,,,,0,0,Urban,0,,,Fine,Null
1753892,5933615,1264375,,508804,0,,0,1,,East,2014/2015,GREVILLE ROAD,HUGH GREEN DRIVE,,Serious Crash,No,2014,,East,,0,,Flat,,,,,,Dark,180609,0,0,0,6,,,0,,,1,,,Auckland Region,Nil,2-way,Sealed,,0,1,,80,,On,0,0,,76,Auckland,Unknown,,,,,0,0,Open,0,,,Fine,Null
1761274,5907528,1264387,,524510,0,0,0,1,0,West,2014/2015,BUCKLAND ROAD,WICKMAN WAY,,Serious Crash,No,2014,0,East,0,0,0,Flat,0,,0,,0,Dark,736702,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,1,0,50,0,On,0,0,,76,Auckland,Nil,0,0,0,1,0,0,Urban,0,0,0,Fine,Null
1769333,5892794,1264390,,521202,0,0,0,1,1,South,2014/2015,WALTERS ROAD,LINWOOD ROAD,,Serious Crash,No,2014,0,South,0,0,0,Flat,0,,0,,0,Dark,807000,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,2,0,100,0,None,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1764309,5912928,1264400,,520500,0,,0,4,,West,2014/2015,SOUTH-EASTERN HIGHWAY,CARBINE ROAD,,Serious Crash,No,2014,,East,,0,,Hill Road,,,,,,Bright sun,639100,5,0,0,4,,,0,,,,,,Auckland Region,Bridge,2-way,Sealed,,0,1,,80,,Null,1,0,,76,Auckland,Unknown,,,,,0,0,Open,0,,,Fine,Null
1757125,5919086,1264510,,514301,0,0,0,0,0,South,2014/2015,SH 1N,SYMONDS OBR,,Serious Crash,Yes,2015,0,North,0,0,0,Flat,1,,0,,0,Twilight,441200,0,0,0,3,0,0,0,0,0,,0,0,Auckland Region,Nil,1-way,Sealed,0,0,1,0,80,0,On,0,0,,76,Auckland,Nil,0,0,0,0,1,0,Open,0,0,0,Fine,Null
1754586,5918815,1264541,,515431,0,,0,2,,West,2015/2016,GREAT NORTH ROAD,SURREY CRESCENT,,Serious Crash,No,2015,,West,,0,,Hill Road,,,,,,Dark,405800,2,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,On,0,0,,76,Auckland,Unknown,,,,,0,0,Urban,0,,,Light rain,Null
1745063,5917751,1264795,,510700,0,0,0,0,1,Null,2012/2013,GREAT NORTH ROAD,LINCOLN ROAD,,Serious Crash,No,2013,0,South,0,0,0,Flat,0,,0,,0,Dark,239104,0,0,0,4,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,1,0,50,0,On,1,0,,76,Auckland,Traffic Signals,1,0,0,1,0,0,Urban,0,0,0,Fine,Null
1742440,5926444,1264825,,513410,0,0,0,1,0,Null,2013/2014,SH 16,FRED TAYLOR DRIVE,,Serious Crash,Yes,2013,0,East,0,0,0,Flat,0,,0,,0,Dark,223100,1,0,0,4,0,0,0,0,0,,0,1,Auckland Region,Nil,2-way,Sealed,0,0,1,0,80,0,On,0,0,,76,Auckland,Give way,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1751748,5926819,1264871,,510210,0,,0,0,,Null,2013/2014,BIRKDALE ROAD,LEVESQUE ST,,Serious Crash,No,2014,,South,,0,,Flat,,,,,,Bright sun,347300,0,0,1,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,Null,0,0,,76,Auckland,Give way,,,,,1,0,Urban,0,,,Fine,Null
1728720,5931820,1264919,,506652,0,0,0,1,0,East,2013/2014,SH 16,RESTAL ROAD,,Serious Crash,Yes,2014,0,North,0,0,0,Flat,0,,0,,0,Dark,218101,1,0,0,2,0,0,0,0,0,,0,1,Auckland Region,Nil,2-way,Sealed,0,0,1,0,100,0,None,0,0,,76,Auckland,Unknown,0,0,0,0,1,0,Open,0,1,0,Fine,Null
1756395,5916034,1264977,,518201,0,0,1,3,0,Null,2012/2013,BALMORAL ROAD,HENLEY ROAD,,Serious Crash,No,2013,0,East,0,0,0,Flat,0,,0,,0,Bright sun,553400,0,0,0,4,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,1,0,50,0,Off,0,0,,76,Auckland,Stop,0,0,0,0,0,0,Urban,0,1,0,Fine,Null
1764454,5918332,1265058,,516602,0,,0,1,,South,2014/2015,KOHIMARAMA ROAD,WHYTEHEAD CRESCENT,,Serious Crash,No,2014,,North,,0,,Flat,,,,,,Dark,508200,0,0,0,2,,,0,,,1,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,On,0,0,,76,Auckland,Unknown,,,,,0,0,Urban,0,,,Fine,Null
1752820,5928143,1265100,,508210,0,,0,1,,West,2013/2014,KAIPATIKI ROAD,EASTON PARK PARADE,,Serious Crash,No,2014,,South,,0,,Flat,,,,,,Bright sun,186600,0,0,1,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,Null,0,0,,76,Auckland,Unknown,,,,,0,0,Urban,0,,,Fine,Null
1759386,5977080,1265148,,506658,0,,0,1,,Null,2013/2014,MEIKLEJOHN WAY,ARGO RISE,,Fatal Crash,No,2014,,North,,1,,Flat,,,,,,Bright sun,138817,0,0,1,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
